"","p_d_node","p_state","d_state","change","p_pp","d_pp","dpp>ppp"
"118","1156_1157",0,0,0,0.93,0.906,0
"119","1157_1158",0,0,0,0.906,1,1
"120","1158_56",0,0,0,1,1,0
"121","1158_57",0,0,0,1,1,0
"122","1157_1159",0,0,0,0.906,0.94,1
"123","1159_58",0,0,0,0.94,1,1
"124","1159_59",0,0,0,0.94,1,1
"125","1156_1160",0,0,0,0.93,0.954,1
"126","1160_1161",0,0,0,0.954,0.952,0
"127","1161_1162",0,0,0,0.952,0.968,1
"128","1162_60",0,0,0,0.968,1,1
"129","1162_61",0,0,0,0.968,1,1
"130","1161_1163",0,0,0,0.952,0.936,0
"131","1163_62",0,0,0,0.936,1,1
"132","1163_63",0,0,0,0.936,1,1
"133","1160_1164",0,0,0,0.954,0.944,0
"134","1164_1165",0,0,0,0.944,0.982,1
"135","1165_64",0,0,0,0.982,1,1
"136","1165_65",0,0,0,0.982,1,1
"137","1164_1166",0,0,0,0.944,0.934,0
"138","1166_66",0,0,0,0.934,1,1
"139","1166_67",0,0,0,0.934,1,1
"140","1153_1167",0,0,0,0.852,0.864,1
"141","1167_1168",0,0,0,0.864,0.832,0
"142","1168_68",0,0,0,0.832,1,1
"143","1168_69",0,0,0,0.832,1,1
"144","1167_1169",0,0,0,0.864,0.85,0
"145","1169_1170",0,0,0,0.85,0.844,0
"146","1170_1171",0,0,0,0.844,0.838,0
"147","1171_70",0,1,1,0.838,1,1
"148","1171_71",0,0,0,0.838,1,1
"149","1170_72",0,0,0,0.844,1,1
"150","1169_1172",0,0,0,0.85,0.866,1
"151","1172_73",0,0,0,0.866,1,1
"152","1172_74",0,0,0,0.866,1,1
"153","1152_1173",0,0,0,0.848,0.832,0
"154","1173_1174",0,0,0,0.832,0.83,0
"155","1174_1175",0,0,0,0.83,0.862,1
"156","1175_1176",0,0,0,0.862,0.906,1
"157","1176_75",0,0,0,0.906,1,1
"158","1176_1177",0,0,0,0.906,0.904,0
"159","1177_76",0,0,0,0.904,1,1
"160","1177_77",0,0,0,0.904,1,1
"161","1175_1178",0,0,0,0.862,0.856,0
"162","1178_78",0,0,0,0.856,1,1
"163","1178_1179",0,0,0,0.856,0.996,1
"164","1179_79",0,0,0,0.996,1,1
"165","1179_80",0,0,0,0.996,1,1
"166","1174_1180",0,0,0,0.83,0.814,0
"167","1180_1181",0,0,0,0.814,0.828,1
"168","1181_1182",0,0,0,0.828,0.848,1
